Date,NKE
1/21/2020,104.58
1/22/2020,104.49
1/23/2020,103.02
1/24/2020,102.03
1/27/2020,100.24
1/28/2020,100.41
1/29/2020,99.84
1/30/2020,98.19
1/31/2020,96.3
2/3/2020,99.27
2/4/2020,101.38
2/5/2020,100.54
2/6/2020,100.27
2/7/2020,99.44
2/10/2020,100.02
2/11/2020,100.02
2/12/2020,103
2/13/2020,103.37
2/14/2020,103.54
2/18/2020,102
2/19/2020,102.46
2/20/2020,102.53
2/21/2020,100.25
2/24/2020,95.91
2/25/2020,92.9
2/26/2020,92
2/27/2020,88.55
2/28/2020,89.38
3/2/2020,92.68
3/3/2020,90.93
3/4/2020,93.79
3/5/2020,90.58
3/6/2020,88.36
3/9/2020,84.11
3/10/2020,88.3
3/11/2020,84
3/12/2020,74.2
3/13/2020,75.58
3/16/2020,66.79
3/17/2020,69.84
3/18/2020,68.04
3/19/2020,70.34
3/20/2020,67.45
3/23/2020,62.8
3/24/2020,72.33
3/25/2020,79.01
3/26/2020,84.3
3/27/2020,83.23
3/30/2020,85.38
3/31/2020,82.74
4/1/2020,79.23
4/2/2020,80.14
4/3/2020,78.86
4/6/2020,84.63
4/7/2020,84.16
4/8/2020,85.3
4/9/2020,86.79
4/13/2020,84.46
4/14/2020,87.47
4/15/2020,85.04
4/16/2020,86.3
4/17/2020,89.91
4/20/2020,87.9
4/21/2020,85.2
4/22/2020,88.77
4/23/2020,87.35
4/24/2020,88.37
4/27/2020,89.37
4/28/2020,88.8
4/29/2020,88.07
4/30/2020,87.18
5/1/2020,85.54
5/4/2020,85.75
5/5/2020,87.2
5/6/2020,88.44
5/7/2020,88.56
5/8/2020,90.46
5/11/2020,90.93
5/12/2020,88.26
5/13/2020,86.02
5/14/2020,86.55
5/15/2020,86.99
5/18/2020,91.04
5/19/2020,91.51
5/20/2020,92.95
5/21/2020,94.26
5/22/2020,93.75
5/26/2020,96.62
5/27/2020,99.87
5/28/2020,98.46
5/29/2020,98.58
6/1/2020,99.54
6/2/2020,100.74
6/3/2020,104.11
6/4/2020,101.28
6/5/2020,102.71
6/8/2020,104.29
6/9/2020,102.63
6/10/2020,102.12
6/11/2020,95.17
6/12/2020,96.43
6/15/2020,97.84
6/16/2020,99.04
6/17/2020,99.21
6/18/2020,98.45
6/19/2020,95.78
6/22/2020,99.51
6/23/2020,101.92
6/24/2020,100.08
6/25/2020,101.4
6/26/2020,93.67
6/29/2020,95.87
6/30/2020,98.05
7/1/2020,97.4
7/2/2020,98.43
7/6/2020,99.95
7/7/2020,97.07
7/8/2020,98.84
7/9/2020,96.99
7/10/2020,97.99
7/13/2020,96.46
7/14/2020,96.76
7/15/2020,98.54
7/16/2020,97.26
7/17/2020,96.28
7/20/2020,95.65
7/21/2020,98.36
7/22/2020,98.91
7/23/2020,98.3
7/24/2020,98.43
7/27/2020,97.21
7/28/2020,96.27
7/29/2020,96.97
7/30/2020,96.82
7/31/2020,97.61
8/3/2020,98.33
8/4/2020,97.33
8/5/2020,100.94
8/6/2020,100.45
8/7/2020,101.86
8/10/2020,105.41
8/11/2020,105.12
8/12/2020,105.22
8/13/2020,106.52
8/14/2020,106.43
8/17/2020,105.66
8/18/2020,106.97
8/19/2020,108.39
8/20/2020,108.01
8/21/2020,109.75
8/24/2020,111.83
8/25/2020,111.51
8/26/2020,111.53
8/27/2020,110.84
8/28/2020,112.29
8/31/2020,111.89
9/1/2020,114.84
9/2/2020,116.8
9/3/2020,112.85
9/4/2020,112.4
9/8/2020,112.72
9/9/2020,114.9
9/10/2020,114.79
9/11/2020,118
9/14/2020,119.28
9/15/2020,119.27
9/16/2020,118.59
9/17/2020,116.36
9/18/2020,114.66
9/21/2020,113.37
9/22/2020,116.87
9/23/2020,127.11
9/24/2020,124.75
9/25/2020,124.23
9/28/2020,124.32
9/29/2020,126.35
9/30/2020,125.54
10/1/2020,126.64
10/2/2020,126.64
10/5/2020,127.91
10/6/2020,127.65
10/7/2020,130.06
10/8/2020,129.71
10/9/2020,130.98
10/12/2020,129.46
10/13/2020,129.2
10/14/2020,127.66
10/15/2020,129
10/16/2020,128
10/19/2020,127.43
10/20/2020,128.49
10/21/2020,129.43
10/22/2020,130.02
10/23/2020,129.99
10/26/2020,128.37
10/27/2020,127.99
10/28/2020,122.08
10/29/2020,122.86
